city,state,Amount,Latitude
New Orleans,LA ,62.7, 30
Miami,FL,61.9, 26
Birmingham,AL,53.7, 52 
Memphis,TN,53.7, 35
Jacksonville,FL,52.4, 30
Orlando,FL,50.7, 28
New York,NY,49.9, 41
Houston,TX,49.8, 30 
Atlanta,GA,49.7, 34
Nashville,TN,47.3, 36
Providence,RI,47.2, 42
Virginia Beach,VA,46.5, 37
Tampa,FL,46.3, 28
Raleigh,NC,46, 36
Hartford,CT,45.9, 42
